geoid,name,variable,estimate,moe,year
10001,ZCTA5 10001,male,12116,986,2016
10001,ZCTA5 10001,female,11216,1129,2016
10001,ZCTA5 10001,total_pop,23332,1740,2016
10001,ZCTA5 10001,race_total,23332,1740,2016
10001,ZCTA5 10001,white,14814,1045,2016
10001,ZCTA5 10001,black_aa,2235,1417,2016
10001,ZCTA5 10001,ai_an,32,34,2016
10001,ZCTA5 10001,asian,5000,714,2016
10001,ZCTA5 10001,hawaiian_pi,0,21,2016
10001,ZCTA5 10001,other,640,541,2016
10001,ZCTA5 10001,med_income,85168,11872,2016
10002,ZCTA5 10002,male,37634,1566,2016
10002,ZCTA5 10002,female,40462,1444,2016
10002,ZCTA5 10002,total_pop,78096,2456,2016
10002,ZCTA5 10002,race_total,78096,2456,2016
10002,ZCTA5 10002,white,24591,1682,2016
10002,ZCTA5 10002,black_aa,6638,922,2016
10002,ZCTA5 10002,ai_an,196,138,2016
10002,ZCTA5 10002,asian,33352,1726,2016
10002,ZCTA5 10002,hawaiian_pi,8,12,2016
10002,ZCTA5 10002,other,10432,1623,2016
10002,ZCTA5 10002,med_income,35594,2970,2016
10003,ZCTA5 10003,male,27425,1269,2016
10003,ZCTA5 10003,female,29342,1262,2016
10003,ZCTA5 10003,total_pop,56767,1934,2016
10003,ZCTA5 10003,race_total,56767,1934,2016
10003,ZCTA5 10003,white,44001,1620,2016
10003,ZCTA5 10003,black_aa,2493,534,2016
10003,ZCTA5 10003,ai_an,105,71,2016
10003,ZCTA5 10003,asian,7348,831,2016
10003,ZCTA5 10003,hawaiian_pi,8,16,2016
10003,ZCTA5 10003,other,1198,554,2016
10003,ZCTA5 10003,med_income,100791,4905,2016
10004,ZCTA5 10004,male,1400,299,2016
10004,ZCTA5 10004,female,1644,331,2016
10004,ZCTA5 10004,total_pop,3044,509,2016
10004,ZCTA5 10004,race_total,3044,509,2016
10004,ZCTA5 10004,white,2201,438,2016
10004,ZCTA5 10004,black_aa,31,37,2016
10004,ZCTA5 10004,ai_an,0,11,2016
10004,ZCTA5 10004,asian,744,296,2016
10004,ZCTA5 10004,hawaiian_pi,6,9,2016
10004,ZCTA5 10004,other,12,18,2016
10004,ZCTA5 10004,med_income,123056,13409,2016
10005,ZCTA5 10005,male,4201,584,2016
10005,ZCTA5 10005,female,4509,638,2016
10005,ZCTA5 10005,total_pop,8710,840,2016
10005,ZCTA5 10005,race_total,8710,840,2016
10005,ZCTA5 10005,white,6425,785,2016
10005,ZCTA5 10005,black_aa,245,158,2016
10005,ZCTA5 10005,ai_an,0,16,2016
10005,ZCTA5 10005,asian,1625,444,2016
10005,ZCTA5 10005,hawaiian_pi,0,16,2016
10005,ZCTA5 10005,other,211,156,2016
10005,ZCTA5 10005,med_income,130116,11890,2016
10006,ZCTA5 10006,male,1382,275,2016
10006,ZCTA5 10006,female,1895,305,2016
10006,ZCTA5 10006,total_pop,3277,438,2016
10006,ZCTA5 10006,race_total,3277,438,2016
10006,ZCTA5 10006,white,2162,353,2016
10006,ZCTA5 10006,black_aa,99,103,2016
10006,ZCTA5 10006,ai_an,0,11,2016
10006,ZCTA5 10006,asian,686,268,2016
10006,ZCTA5 10006,hawaiian_pi,0,11,2016
10006,ZCTA5 10006,other,111,131,2016
10006,ZCTA5 10006,med_income,125364,13544,2016
10007,ZCTA5 10007,male,3976,432,2016
10007,ZCTA5 10007,female,2764,346,2016
10007,ZCTA5 10007,total_pop,6740,665,2016
10007,ZCTA5 10007,race_total,6740,665,2016
10007,ZCTA5 10007,white,4790,667,2016
10007,ZCTA5 10007,black_aa,390,111,2016
10007,ZCTA5 10007,ai_an,0,16,2016
10007,ZCTA5 10007,asian,1062,208,2016
10007,ZCTA5 10007,hawaiian_pi,0,16,2016
10007,ZCTA5 10007,other,107,74,2016
10007,ZCTA5 10007,med_income,234958,45462,2016
10009,ZCTA5 10009,male,26654,1443,2016
10009,ZCTA5 10009,female,33145,1468,2016
10009,ZCTA5 10009,total_pop,59799,1682,2016
10009,ZCTA5 10009,race_total,59799,1682,2016
10009,ZCTA5 10009,white,36219,1673,2016
10009,ZCTA5 10009,black_aa,4898,669,2016
10009,ZCTA5 10009,ai_an,89,82,2016
10009,ZCTA5 10009,asian,8096,1078,2016
10009,ZCTA5 10009,hawaiian_pi,70,73,2016
10009,ZCTA5 10009,other,8463,1235,2016
10009,ZCTA5 10009,med_income,60788,3699,2016
10010,ZCTA5 10010,male,16606,1496,2016
10010,ZCTA5 10010,female,16248,1264,2016
10010,ZCTA5 10010,total_pop,32854,2303,2016
10010,ZCTA5 10010,race_total,32854,2303,2016
10010,ZCTA5 10010,white,24356,2313,2016
10010,ZCTA5 10010,black_aa,1867,357,2016
10010,ZCTA5 10010,ai_an,214,243,2016
10010,ZCTA5 10010,asian,4963,749,2016
10010,ZCTA5 10010,hawaiian_pi,0,24,2016
10010,ZCTA5 10010,other,511,248,2016
10010,ZCTA5 10010,med_income,110142,9266,2016
10011,ZCTA5 10011,male,25453,1707,2016
10011,ZCTA5 10011,female,24951,1107,2016
10011,ZCTA5 10011,total_pop,50404,2300,2016
10011,ZCTA5 10011,race_total,50404,2300,2016
10011,ZCTA5 10011,white,40021,2033,2016
10011,ZCTA5 10011,black_aa,2313,460,2016
10011,ZCTA5 10011,ai_an,64,69,2016
10011,ZCTA5 10011,asian,5091,988,2016
10011,ZCTA5 10011,hawaiian_pi,4,8,2016
10011,ZCTA5 10011,other,1415,519,2016
10011,ZCTA5 10011,med_income,114134,6726,2016
10012,ZCTA5 10012,male,12606,966,2016
10012,ZCTA5 10012,female,11930,857,2016
10012,ZCTA5 10012,total_pop,24536,1279,2016
10012,ZCTA5 10012,race_total,24536,1279,2016
10012,ZCTA5 10012,white,18565,1057,2016
10012,ZCTA5 10012,black_aa,641,237,2016
10012,ZCTA5 10012,ai_an,38,40,2016
10012,ZCTA5 10012,asian,3959,738,2016
10012,ZCTA5 10012,hawaiian_pi,12,20,2016
10012,ZCTA5 10012,other,367,174,2016
10012,ZCTA5 10012,med_income,101815,3308,2016
10013,ZCTA5 10013,male,13988,830,2016
10013,ZCTA5 10013,female,14223,863,2016
10013,ZCTA5 10013,total_pop,28211,1443,2016
10013,ZCTA5 10013,race_total,28211,1443,2016
10013,ZCTA5 10013,white,15813,1015,2016
10013,ZCTA5 10013,black_aa,1371,331,2016
10013,ZCTA5 10013,ai_an,36,37,2016
10013,ZCTA5 10013,asian,9039,1083,2016
10013,ZCTA5 10013,hawaiian_pi,0,21,2016
10013,ZCTA5 10013,other,491,251,2016
10013,ZCTA5 10013,med_income,104167,10841,2016
10014,ZCTA5 10014,male,16101,942,2016
10014,ZCTA5 10014,female,15363,914,2016
10014,ZCTA5 10014,total_pop,31464,1227,2016
10014,ZCTA5 10014,race_total,31464,1227,2016
10014,ZCTA5 10014,white,27978,1257,2016
10014,ZCTA5 10014,black_aa,417,145,2016
10014,ZCTA5 10014,ai_an,126,168,2016
10014,ZCTA5 10014,asian,1770,355,2016
10014,ZCTA5 10014,hawaiian_pi,0,24,2016
10014,ZCTA5 10014,other,580,273,2016
10014,ZCTA5 10014,med_income,119026,12563,2016
10016,ZCTA5 10016,male,22875,1292,2016
10016,ZCTA5 10016,female,27569,1773,2016
10016,ZCTA5 10016,total_pop,50444,2138,2016
10016,ZCTA5 10016,race_total,50444,2138,2016
10016,ZCTA5 10016,white,36626,2480,2016
10016,ZCTA5 10016,black_aa,1537,514,2016
10016,ZCTA5 10016,ai_an,68,65,2016
10016,ZCTA5 10016,asian,9872,1076,2016
10016,ZCTA5 10016,hawaiian_pi,0,27,2016
10016,ZCTA5 10016,other,411,256,2016
10016,ZCTA5 10016,med_income,102703,6117,2016
10017,ZCTA5 10017,male,7906,1043,2016
10017,ZCTA5 10017,female,8627,733,2016
10017,ZCTA5 10017,total_pop,16533,1281,2016
10017,ZCTA5 10017,race_total,16533,1281,2016
10017,ZCTA5 10017,white,11965,1155,2016
10017,ZCTA5 10017,black_aa,503,193,2016
10017,ZCTA5 10017,ai_an,0,18,2016
10017,ZCTA5 10017,asian,3732,779,2016
10017,ZCTA5 10017,hawaiian_pi,6,13,2016
10017,ZCTA5 10017,other,61,63,2016
10017,ZCTA5 10017,med_income,106795,16080,2016
10018,ZCTA5 10018,male,4818,541,2016
10018,ZCTA5 10018,female,4866,432,2016
10018,ZCTA5 10018,total_pop,9684,664,2016
10018,ZCTA5 10018,race_total,9684,664,2016
10018,ZCTA5 10018,white,5724,591,2016
10018,ZCTA5 10018,black_aa,532,206,2016
10018,ZCTA5 10018,ai_an,0,16,2016
10018,ZCTA5 10018,asian,2842,423,2016
10018,ZCTA5 10018,hawaiian_pi,0,16,2016
10018,ZCTA5 10018,other,203,123,2016
10018,ZCTA5 10018,med_income,105479,12702,2016
10019,ZCTA5 10019,male,20169,1333,2016
10019,ZCTA5 10019,female,19336,1155,2016
10019,ZCTA5 10019,total_pop,39505,1902,2016
10019,ZCTA5 10019,race_total,39505,1902,2016
10019,ZCTA5 10019,white,27568,1569,2016
10019,ZCTA5 10019,black_aa,2551,641,2016
10019,ZCTA5 10019,ai_an,196,152,2016
10019,ZCTA5 10019,asian,6356,945,2016
