restaurant,rest_type,boro,zipcode
MCDONALD'S,fast food,Queens,11368
POPEYES,fast food,Brooklyn,11208
MCDONALD'S,fast food,Brooklyn,11204
KFC,fast food,Brooklyn,11218
MCDONALD'S,fast food,Manhattan,10028
MCDONALD'S,fast food,Bronx,10469
BOSTON MARKET,sit-down,Queens,11377
CHIPOTLE MEXICAN GRILL,fast food,Brooklyn,11201
POPEYES,fast food,Brooklyn,11229
WHITE CASTLE,fast food,Queens,11104
TIM HORTONS,fast food,Staten Island,10305
LITTLE CAESARS,fast food,Queens,11435
MCDONALD'S,fast food,Manhattan,10036
POPEYES,fast food,Brooklyn,11211
WINGSTOP,fast food,Manhattan,10032
TACO BELL,fast food,Manhattan,10028
SUBWAY,fast food,Bronx,10457
CHIPOTLE MEXICAN GRILL,fast food,Manhattan,10003
LITTLE CAESARS,fast food,Queens,11372
SUBWAY,fast food,Queens,11435
TACO BELL,fast food,Bronx,10453
LITTLE CAESARS,fast food,Bronx,10452
WENDY'S,fast food,Brooklyn,11236
POPEYES,fast food,Queens,11421
SHAKE SHACK,fast food,Brooklyn,11201
MCDONALD'S,fast food,Queens,11373
PAPA JOHN'S,fast food,Brooklyn,11220
IHOP,sit-down,Bronx,10475
MCDONALD'S,fast food,Brooklyn,11234
PIZZA HUT,fast food,Bronx,10462
CHIPOTLE MEXICAN GRILL,fast food,Manhattan,10038
MCDONALD'S,fast food,Queens,11385
MCDONALD'S,fast food,Brooklyn,11217
SUBWAY,fast food,Manhattan,10036
APPLEBEE'S,sit-down,Brooklyn,11216
MCDONALD'S,fast food,Manhattan,10002
PANDA EXPRESS,fast food,Queens,11374
SUBWAY,fast food,Manhattan,10019
SUBWAY,fast food,Queens,11421
MCDONALD'S,fast food,Manhattan,10023
KFC,fast food,Queens,11434
PAPA JOHN'S,fast food,Brooklyn,11211
CHECKERS,fast food,Brooklyn,11206
CHECKERS,fast food,Brooklyn,11207
ARBY'S,fast food,Manhattan,10018
BURGER KING,fast food,Staten Island,10302
BURGER KING,fast food,Queens,11418
MCDONALD'S,fast food,Queens,11354
SUBWAY,fast food,Brooklyn,11214
